first_category,reached_view,reached_cart,reached_purchase,v2c_cr,c2p_cr,v2p_cr
electronics,4095636,412708,214412,10.08,51.95,5.24
medicine,3957,338,126,8.54,37.28,3.18
appliances,971814,61200,26625,6.3,43.5,2.74
construction,141678,6924,2807,4.89,40.54,1.98
computers,450847,19453,8110,4.31,41.69,1.8
stationery,2143,99,28,4.62,28.28,1.31
auto,225832,6788,2863,3.01,42.18,1.27
unknown,2484956,54710,21693,2.2,39.65,0.87
sport,45527,1002,310,2.2,30.94,0.68
country_yard,3367,65,22,1.93,33.85,0.65
kids,135167,2340,834,1.73,35.64,0.62
accessories,48749,729,255,1.5,34.98,0.52
furniture,292631,2720,1024,0.93,37.65,0.35
apparel,340349,1692,649,0.5,38.36,0.19
