Date,View,Cart,Purchase
2019-10-01,268628,10168,16249
2019-10-02,260199,10559,16416
2019-10-03,239850,11527,16154
2019-10-04,299315,26663,22933
2019-10-05,275578,21139,19655
2019-10-06,271605,19057,18825
2019-10-07,261852,10997,18053
2019-10-08,306761,11435,19579
2019-10-09,299659,11272,19311
2019-10-10,293547,11633,18652
2019-10-11,331756,12897,22189
2019-10-12,302849,12401,21610
2019-10-13,331948,14939,25212
2019-10-14,306121,28163,24144
2019-10-15,333150,31090,22399
2019-10-16,327426,28603,26503
2019-10-17,301722,25477,24069
2019-10-18,333871,24641,21674
2019-10-19,320240,24559,20889
2019-10-20,338700,24912,21275
2019-10-21,319919,22834,21422
2019-10-22,315250,23047,21282
2019-10-23,309009,23102,20974
2019-10-24,292108,22107,20297
2019-10-25,316691,23130,20300
2019-10-26,288065,22075,19350
2019-10-27,288486,21379,19859
2019-10-28,279543,11086,17915
2019-10-29,275278,10761,17350
2019-10-30,273525,10718,17700
2019-10-31,280002,10726,17320
